Time: 0.0 seconds 
Motor 0 speed: 0 
Motor 1 speed: 0 
Motor 2 speed: 0 
Motor 3 speed: 0 
Motor 4 speed: 0 
Motor 5 speed: 0 
Motor 6 speed: 0 
Motor 7 speed: 0 
Motor 8 speed: 0 
Motor 9 speed: 0 
Motor 10 speed: 0 
Motor 11 speed: 0 
Motor 12 speed: 0 
Motor 13 speed: 0 
Motor 14 speed: 0 
Motor 15 speed: 0 
Motor 16 speed: 0 
Motor 17 speed: 0 
Motor 18 speed: 0 
Motor 19 speed: 0 
Motor 20 speed: 0 
Motor 21 speed: 0 
Motor 22 speed: 0 
Motor 23 speed: 0 
Motor 24 speed: 0 
Motor 25 speed: 0 
Motor 26 speed: 0 
Motor 27 speed: 0 
Motor 28 speed: 0 
Motor 29 speed: 0 

 ################# 

Time: 1.0 seconds 
Motor 0 speed: 0 
Motor 1 speed: 0 
Motor 2 speed: 0 
Motor 3 speed: 0 
Motor 4 speed: 0 
Motor 5 speed: 0 
Motor 6 speed: 0 
Motor 7 speed: 0 
Motor 8 speed: 0 
Motor 9 speed: 0 
Motor 10 speed: 0 
Motor 11 speed: 0 
Motor 12 speed: 0 
Motor 13 speed: 0 
Motor 14 speed: 0 
Motor 15 speed: 0 
Motor 16 speed: 0 
Motor 17 speed: 0 
Motor 18 speed: 0 
Motor 19 speed: 0 
Motor 20 speed: 0 
Motor 21 speed: 0 
Motor 22 speed: 0 
Motor 23 speed: 0 
Motor 24 speed: 0 
Motor 25 speed: 0 
Motor 26 speed: 0 
Motor 27 speed: 0 
Motor 28 speed: 0 
Motor 29 speed: 0 

 ################# 

Time: 2.0 seconds 
Motor 0 speed: 0 
Motor 1 speed: 0 
Motor 2 speed: 0 
Motor 3 speed: 0 
Motor 4 speed: 0 
Motor 5 speed: 0 
Motor 6 speed: 0 
Motor 7 speed: 0 
Motor 8 speed: 0 
Motor 9 speed: 0 
Motor 10 speed: 0 
Motor 11 speed: 0 
Motor 12 speed: 0 
Motor 13 speed: 0 
Motor 14 speed: 0 
Motor 15 speed: 0 
Motor 16 speed: 0 
Motor 17 speed: 0 
Motor 18 speed: 0 
Motor 19 speed: 0 
Motor 20 speed: 0 
Motor 21 speed: 0 
Motor 22 speed: 0 
Motor 23 speed: 0 
Motor 24 speed: 0 
Motor 25 speed: 0 
Motor 26 speed: 0 
